rank	model_name	score	cluster_id
160	rigidbody_67.pdb	247.43	-
161	rigidbody_102.pdb	247.73	-
162	rigidbody_135.pdb	249.60	-
163	rigidbody_26.pdb	249.73	-
164	rigidbody_137.pdb	251.49	-
165	rigidbody_186.pdb	251.94	-
166	rigidbody_128.pdb	252.18	-
167	rigidbody_89.pdb	252.53	-
168	rigidbody_58.pdb	253.15	-
169	rigidbody_73.pdb	253.47	-
170	rigidbody_170.pdb	253.66	-
171	rigidbody_127.pdb	254.07	-
172	rigidbody_140.pdb	254.18	-
173	rigidbody_4.pdb	254.42	-
174	rigidbody_110.pdb	255.03	-
175	rigidbody_34.pdb	256.71	-
176	rigidbody_198.pdb	260.28	-
177	rigidbody_12.pdb	260.60	-
178	rigidbody_70.pdb	261.05	-
179	rigidbody_108.pdb	262.42	-
180	rigidbody_71.pdb	265.14	-
181	rigidbody_90.pdb	265.97	-
182	rigidbody_39.pdb	267.02	-
183	rigidbody_139.pdb	268.48	-
184	rigidbody_86.pdb	270.16	-
185	rigidbody_162.pdb	270.46	-
186	rigidbody_117.pdb	273.28	-
187	rigidbody_130.pdb	274.12	-
188	rigidbody_98.pdb	275.93	1
189	rigidbody_169.pdb	278.57	-
190	rigidbody_146.pdb	284.25	-
191	rigidbody_199.pdb	290.57	-
192	rigidbody_74.pdb	298.16	-
193	rigidbody_20.pdb	300.11	-
194	rigidbody_116.pdb	303.79	-
195	rigidbody_55.pdb	305.84	-
196	rigidbody_143.pdb	307.42	-
197	rigidbody_192.pdb	314.23	-
198	rigidbody_155.pdb	352.55	-
199	rigidbody_103.pdb	402.37	-
200	rigidbody_75.pdb	513.26	-

