rank	model_name	score	cluster_id
169	rigidbody_25.pdb	219.08	-
170	rigidbody_191.pdb	220.21	-
171	rigidbody_192.pdb	221.45	-
172	rigidbody_24.pdb	223.98	-
173	rigidbody_86.pdb	224.69	-
174	rigidbody_6.pdb	225.25	-
175	rigidbody_130.pdb	226.80	-
176	rigidbody_143.pdb	228.11	-
177	rigidbody_163.pdb	228.95	-
178	rigidbody_13.pdb	230.16	-
179	rigidbody_79.pdb	230.30	-
180	rigidbody_200.pdb	230.40	-
181	rigidbody_85.pdb	233.02	-
182	rigidbody_135.pdb	235.28	-
183	rigidbody_155.pdb	236.80	-
184	rigidbody_111.pdb	239.90	-
185	rigidbody_113.pdb	240.51	-
186	rigidbody_189.pdb	241.05	-
187	rigidbody_187.pdb	241.17	-
188	rigidbody_73.pdb	241.46	-
189	rigidbody_172.pdb	243.04	-
190	rigidbody_97.pdb	249.05	-
191	rigidbody_131.pdb	251.32	-
192	rigidbody_138.pdb	258.26	-
193	rigidbody_158.pdb	259.75	-
194	rigidbody_38.pdb	267.33	-
195	rigidbody_67.pdb	273.92	-
196	rigidbody_180.pdb	278.40	-
197	rigidbody_71.pdb	283.72	-
198	rigidbody_173.pdb	285.44	-
199	rigidbody_81.pdb	310.49	-
200	rigidbody_146.pdb	323.35	-

