rank	model_name	score	cluster_id
1	flexref_1.pdb	-1.24	-
2	flexref_11.pdb	11.70	1
3	flexref_2.pdb	12.76	-
4	flexref_13.pdb	20.23	1
5	flexref_12.pdb	23.80	-
6	flexref_18.pdb	27.24	1
7	flexref_16.pdb	29.43	1
8	flexref_15.pdb	45.18	-
9	flexref_14.pdb	49.96	1
10	flexref_20.pdb	60.71	1
11	flexref_8.pdb	67.86	-
12	flexref_6.pdb	68.80	-
13	flexref_4.pdb	68.99	-
14	flexref_17.pdb	70.62	1
15	flexref_3.pdb	79.17	-
16	flexref_7.pdb	89.40	-
17	flexref_19.pdb	90.68	1
18	flexref_9.pdb	101.67	-
19	flexref_5.pdb	133.84	-
20	flexref_10.pdb	144.40	-

