rank	model_name	score	cluster_id
178	rigidbody_46.pdb	235.67	-
179	rigidbody_108.pdb	236.98	-
180	rigidbody_148.pdb	237.16	-
181	rigidbody_120.pdb	237.36	-
182	rigidbody_82.pdb	237.81	-
183	rigidbody_4.pdb	237.96	-
184	rigidbody_122.pdb	239.14	-
185	rigidbody_38.pdb	240.08	-
186	rigidbody_200.pdb	240.12	-
187	rigidbody_11.pdb	240.45	-
188	rigidbody_41.pdb	240.88	-
189	rigidbody_146.pdb	241.53	-
190	rigidbody_116.pdb	242.86	-
191	rigidbody_131.pdb	243.79	-
192	rigidbody_184.pdb	244.26	-
193	rigidbody_130.pdb	252.20	-
194	rigidbody_174.pdb	258.51	-
195	rigidbody_86.pdb	260.08	-
196	rigidbody_18.pdb	262.06	-
197	rigidbody_74.pdb	265.79	-
198	rigidbody_186.pdb	272.64	-
199	rigidbody_39.pdb	282.38	-
200	rigidbody_132.pdb	314.64	-

